Hafta,Tarih Aralığı,Türk Dili ve Edebiyatı,Matematik,Fizik,Kimya,Biyoloji,Tarih
1-3,8-26 Eylül,"Giriş (Edebiyat ve Toplum), Hikâye (1923-1940)","Trigonometri: Yönlü Açılar, Açı Ölçü Birimleri, Trigonometrik Fonksiyonlar","Kuvvet ve Hareket: Vektörler, Bağıl Hareket",Modern Atom Teorisi: Atomun Kuantum Modeli,Sinir Sistemi,Değişen Dünya Dengeleri Karşısında Osmanlı Siyaseti (1595-1774)
4-6,29 Eylül - 17 Ekim,"Şiir (Cümlenin Ögeleri, Yazım Kuralları)","Birim Çember, Kosinüs ve Sinüs Teoremleri",Newton'un Hareket Yasaları,Periyodik Sistem ve Elektron Dizilimleri,Endokrin Sistem,Değişim Çağında Avrupa ve Osmanlı
7-8,20-31 Ekim,"Makale, Sohbet ve Fıkra","Trigonometrik Fonksiyonların Grafikleri, Ters Trigonometrik Fonksiyonlar","Bir Boyutta Sabit İvmeli Hareket, Atışlar","Periyodik Özellikler, Yükseltgenme Basamakları",Duyu Organları,Uluslararası İlişkilerde Denge Stratejisi (1774-1914)
9,3-7 Kasım,Genel Tekrar ve 1. Yazılı Sınav Haftası,Genel Tekrar ve 1. Yazılı Sınav Haftası,Genel Tekrar ve 1. Yazılı Sınav Haftası,Genel Tekrar ve 1. Yazılı Sınav Haftası,Genel Tekrar ve 1. Yazılı Sınav Haftası,Genel Tekrar ve 1. Yazılı Sınav Haftası
10,10-14 Kasım,Birinci Ara Tatil,Birinci Ara Tatil,Birinci Ara Tatil,Birinci Ara Tatil,Birinci Ara Tatil,Birinci Ara Tatil
11-13,17 Kasım - 5 Aralık,Roman (1923-1950 Cumhuriyet Dönemi),Analitik Geometri: Doğrunun Analitik İncelenmesi,Enerji ve Hareket,"Gazlar: Gaz Yasaları, İdeal Gaz Denklemi",Destek ve Hareket Sistemi,Devrimler Çağında Değişen Devlet-Toplum İlişkileri
14-16,8-26 Aralık,Tiyatro (1923-1950 Cumhuriyet Dönemi),Fonksiyonlarda Uygulamalar: Parabol,İtme ve Çizgisel Momentum,"Gazlarda Kinetik Teori, Gaz Karışımları",Sindirim Sistemi,Sermaye ve Emek
17-18,29 Aralık - 9 Ocak,"Eleştiri, Mülakat/Röportaj",Fonksiyonların Dönüşümleri,"Tork, Denge ve Denge Şartları",Sıvı Çözeltiler ve Çözünürlük,Dolaşım ve Lenf Sistemi,XIX. ve XX. Yüzyılda Değişen Gündelik Hayat
19,12-16 Ocak,Dönem Sonu Tekrarı ve 2. Yazılı Sınav Haftası,Dönem Sonu Tekrarı ve 2. Yazılı Sınav Haftası,Dönem Sonu Tekrarı ve 2. Yazılı Sınav Haftası,Dönem Sonu Tekrarı ve 2. Yazılı Sınav Haftası,Dönem Sonu Tekrarı ve 2. Yazılı Sınav Haftası,Dönem Sonu Tekrarı ve 2. Yazılı Sınav Haftası
-,19-30 Ocak,Yarıyıl Tatili,Yarıyıl Tatili,Yarıyıl Tatili,Yarıyıl Tatili,Yarıyıl Tatili,Yarıyıl Tatili
20-22,2-20 Şubat,"Roman (1950-1980), Dil Bilgisi Tekrarı",Denklem ve Eşitsizlik Sistemleri,"Kütle Merkezi, Basit Makineler","Derişim Birimleri, Koligatif Özellikler",Bağışıklık Sistemi,Milli Mücadele
23-25,23 Şubat - 13 Mart,"Şiir (1923-1980), Anlatım Bozuklukları",İkinci Dereceden Bir Bilinmeyenli Eşitsizlikler,Elektriksel Kuvvet ve Elektrik Alan,Kimyasal Tepkimelerde Enerji (Entalpi),Solunum Sistemi,Türk İnkılabı
26,16-20 Mart,İkinci Ara Tatil,İkinci Ara Tatil,İkinci Ara Tatil,İkinci Ara Tatil,İkinci Ara Tatil,İkinci Ara Tatil
27-29,23 Mart - 10 Nisan,"Tiyatro (1950-1980), Deneme","Çember ve Daire: Temel Elemanlar, Açılar",Elektriksel Potansiyel,"Oluşum Entalpisi, Bağ Enerjileri",Üriner Sistem,Atatürkçülük ve Türk İnkılabı
30-32,13 Nisan - 1 Mayıs,"Eleştiri, Günlük/Blog","Çemberde Teğet, Dairenin Alanı",Düzgün Elektrik Alan ve Sığa,Kimyasal Tepkimelerde Hız,Üreme Sistemi ve Embriyonik Gelişim,İki Savaş Arası Dönemde Türkiye ve Dünya
33-34,4-15 Mayıs,Genel Tekrar ve 2. Yazılı Sınav Haftası,Genel Tekrar ve 2. Yazılı Sınav Haftası,Genel Tekrar ve 2. Yazılı Sınav Haftası,Genel Tekrar ve 2. Yazılı Sınav Haftası,Genel Tekrar ve 2. Yazılı Sınav Haftası,Genel Tekrar ve 2. Yazılı Sınav Haftası
35-37,18 Mayıs - 5 Haziran,Yıl Sonu Genel Tekrarı,Uzay Geometri (Katı Cisimler),Manyetizma ve Elektromanyetik İndüklenme,Kimyasal Denge,Komünite ve Popülasyon Ekolojisi,II. Dünya Savaşı ve Sonrası
38-40,8-26 Haziran,Yıl Sonu Genel Tekrarı,Yıl Sonu Genel Tekrarı,Alternatif Akım ve Transformatörler,"Asit-Baz Dengesi, Çözünürlük Dengesi",Yıl Sonu Genel Tekrarı,Yıl Sonu Genel Tekrarı
