Hafta,Tarih Aralığı,Türk Dili ve Edebiyatı,Matematik,Fizik,Kimya,Biyoloji,T.C. İnkılap Tarihi ve Atatürkçülük
1-3,8-26 Eylül,"Giriş (Edebiyat-Felsefe/Psikoloji), 1960 Sonrası Hikâye",Üstel ve Logaritmik Fonksiyonlar,Çembersel Hareket,"Kimya ve Elektrik: Redoks Tepkimeleri, Aktiflik",Genden Proteine: Nükleik Asitlerin Keşfi ve Yapısı,20. Yüzyıl Başlarında Osmanlı Devleti ve Dünya
4-6,29 Eylül - 17 Ekim,"Şiir (1980 Sonrası), Küçürek Hikâye",Diziler: Gerçek Sayı Dizileri,Basit Harmonik Hareket,Elektrokimyasal Hücreler (Piller),Genetik Şifre ve Protein Sentezi,I. Dünya Savaşı
7-8,20-31 Ekim,"Roman (1980 Sonrası), Paragraf Tekrarı",Aritmetik ve Geometrik Diziler,"Dalga Mekaniği: Kırınım, Girişim, Doppler",Elektrot Potansiyelleri,Canlılarda Enerji Dönüşümleri: Fotosentez,Milli Mücadele'ye Hazırlık
9,3-7 Kasım,Genel Tekrar ve 1. Yazılı Sınav Haftası,Genel Tekrar ve 1. Yazılı Sınav Haftası,Genel Tekrar ve 1. Yazılı Sınav Haftası,Genel Tekrar ve 1. Yazılı Sınav Haftası,Genel Tekrar ve 1. Yazılı Sınav Haftası,Genel Tekrar ve 1. Yazılı Sınav Haftası
10,10-14 Kasım,Birinci Ara Tatil,Birinci Ara Tatil,Birinci Ara Tatil,Birinci Ara Tatil,Birinci Ara Tatil,Birinci Ara Tatil
11-13,17 Kasım - 5 Aralık,"Tiyatro (1980 Sonrası), Deneme, Söylev",Trigonometri: Toplam-Fark ve Yarım Açı Formülleri,Elektromanyetik Dalgalar,"Elektroliz, Korozyon",Kemosentez,Kurtuluş Savaşı'nda Cepheler
14-16,8-26 Aralık,TYT Türkçe Tekrarı,Trigonometrik Denklemler,Atom Fiziğine Giriş ve Radyoaktivite,Karbon Kimyasına Giriş,"Hücresel Solunum (Oksijenli, Oksijensiz)",Türk İnkılabı
17-18,29 Aralık - 9 Ocak,TYT Türkçe Tekrarı,Dönüşümler: Analitik Düzlemde Temel Dönüşümler,"Büyük Patlama ve Evrenin Oluşumu, Radyoaktivite","Organik Bileşikler: Alkanlar, Alkenler, Alkinler",Fermantasyon,Atatürkçülük ve Türk İnkılabı
19,12-16 Ocak,Dönem Sonu Tekrarı ve 2. Yazılı Sınav Haftası,Dönem Sonu Tekrarı ve 2. Yazılı Sınav Haftası,Dönem Sonu Tekrarı ve 2. Yazılı Sınav Haftası,Dönem Sonu Tekrarı ve 2. Yazılı Sınav Haftası,Dönem Sonu Tekrarı ve 2. Yazılı Sınav Haftası,Dönem Sonu Tekrarı ve 2. Yazılı Sınav Haftası
-,19-30 Ocak,Yarıyıl Tatili,Yarıyıl Tatili,Yarıyıl Tatili,Yarıyıl Tatili,Yarıyıl Tatili,Yarıyıl Tatili
20-22,2-20 Şubat,AYT Edebiyat Tekrarı,Limit ve Süreklilik,Modern Fizik: Özel Görelilik,"Fonksiyonel Gruplar: Alkoller, Eterler, Aldehitler, Ketonlar",Bitki Biyolojisi: Bitkisel Dokular ve Organlar,Atatürk Dönemi Türk Dış Politikası
23-25,23 Şubat - 13 Mart,AYT Edebiyat Tekrarı,Türev: Anlık Değişim Oranı ve Türev Kavramı,"Kuantum Fiziğine Giriş, Fotoelektrik Olay","Karboksilik Asitler, Esterler",Bitkilerde Madde Taşınması,Atatürk'ün Ölümü ve Sonrası
26,16-20 Mart,İkinci Ara Tatil,İkinci Ara Tatil,İkinci Ara Tatil,İkinci Ara Tatil,İkinci Ara Tatil,İkinci Ara Tatil
27-29,23 Mart - 10 Nisan,YKS Genel Tekrarı,"Türevin Uygulamaları (Artan-Azalan, Ekstremum)","Compton Saçılması, De Broglie Dalga Boyu",Enerji Kaynakları ve Bilimsel Gelişmeler,Bitkilerde Eşeyli Üreme,İki Savaş Arası Dönemde Türkiye ve Dünya
30-32,13 Nisan - 1 Mayıs,YKS Genel Tekrarı,Belirli İntegral ve Uygulamaları (Alan Hesabı),Modern Fiziğin Teknolojideki Uygulamaları,Yıl Sonu Tekrarı,Canlılar ve Çevre,II. Dünya Savaşı ve Sonrası
33-34,4-15 Mayıs,YKS Genel Tekrarı,,YKS Genel Tekrarı,YKS Genel Tekrarı,YKS Genel Tekrarı,Soğuk Savaş Dönemi ve Yumuşama
35-40,18 Mayıs - 26 Haziran,YKS Deneme Sınavları ve Soru Çözümleri,YKS Deneme Sınavları ve Soru Çözümleri,YKS Deneme Sınavları ve Soru Çözümleri,YKS Deneme Sınavları ve Soru Çözümleri,YKS Deneme Sınavları ve Soru Çözümleri,Küreselleşen Dünya
