Hafta,Tarih Aralığı,Türk Dili ve Edebiyatı,Matematik,Fizik,Kimya,Biyoloji,T.C. İnkılap Tarihi ve Atatürkçülük
1-2,8-19 Eylül,Edebiyat ve Felsefe/Psikoloji İlişkisi,Üstel ve Logaritmik Fonksiyonlar,Çembersel Hareket,Kimya ve Elektrik: Redoks Tepkimeleri,Genden Proteine: Nükleik Asitlerin Keşfi,20. Yüzyıl Başlarında Osmanlı ve Dünya
3-4,22 Eylül - 3 Ekim,Cumhuriyet Dönemi Edebiyatı (Giriş),Logaritma Fonksiyonu ve Özellikleri,"Dönme, Öteleme ve Açısal Momentum",Elektrokimyasal Hücreler (Piller),Genetik Şifre ve Protein Sentezi,I. Dünya Savaşı
5-6,6-17 Ekim,Cumhuriyet Dönemi Şiiri,Üstel ve Logaritmik Denklemler,Kütle Çekim ve Kepler Kanunları,Elektrot Potansiyelleri ve Pil Gerilimi,Biyoteknoloji ve Genetik Mühendisliği,Milli Mücadele'ye Hazırlık
7-8,20-31 Ekim,Cumhuriyet Dönemi Hikâyesi,Gerçek Sayı Dizileri,Basit Harmonik Hareket,Elektroliz ve Korozyon,Canlılarda Enerji Dönüşümleri: ATP ve Fotosentez,Kurtuluş Savaşı ve Antlaşmalar
9,3-7 Kasım,Genel Tekrar ve 1. Yazılı Sınav Haftası,Genel Tekrar ve 1. Yazılı Sınav Haftası,Genel Tekrar ve 1. Yazılı Sınav Haftası,Genel Tekrar ve 1. Yazılı Sınav Haftası,Genel Tekrar ve 1. Yazılı Sınav Haftası,Genel Tekrar ve 1. Yazılı Sınav Haftası
10,10-14 Kasım,Birinci Ara Tatil,Birinci Ara Tatil,Birinci Ara Tatil,Birinci Ara Tatil,Birinci Ara Tatil,Birinci Ara Tatil
11-12,17-28 Kasım,Cumhuriyet Dönemi Romanı,Toplam-Fark ve Yarım Açı Formülleri,Dalga Mekaniği: Kırınım ve Girişim,Karbon Kimyasına Giriş: Organik Bileşikler,Kemosentez ve Hücresel Solunum,Türk İnkılabı
13-14,1-12 Aralık,Cumhuriyet Dönemi Tiyatrosu,Trigonometrik Denklemler,Elektromanyetik Dalgalar,Alkanlar ve Alkenler,Bitki Biyolojisi: Bitkisel Dokular ve Organlar,Atatürkçülük ve Atatürk İlkeleri
15-16,15-26 Aralık,Deneme ve Eleştiri,Limit ve Süreklilik,Atom Fiziğine Giriş ve Radyoaktivite,Alkinler ve Aromatik Bileşikler,Bitkilerde Madde Taşınması,Türk Dış Politikası
17-18,29 Aralık - 9 Ocak,Dünya Edebiyatından Seçmeler,Türev Kavramı ve Türev Alma Kuralları,Modern Fizik: Özel Görelilik,"Fonksiyonel Gruplar: Alkoller, Eterler",Bitkilerde Büyüme ve Hareket,Dönem Sonu Tekrarı
19,12-16 Ocak,Dönem Sonu Tekrarı ve 2. Yazılı Sınav Haftası,Dönem Sonu Tekrarı ve 2. Yazılı Sınav Haftası,Dönem Sonu Tekrarı ve 2. Yazılı Sınav Haftası,Dönem Sonu Tekrarı ve 2. Yazılı Sınav Haftası,Dönem Sonu Tekrarı ve 2. Yazılı Sınav Haftası,Dönem Sonu Tekrarı ve 2. Yazılı Sınav Haftası
-,19-30 Ocak,Yarıyıl Tatili,Yarıyıl Tatili,Yarıyıl Tatili,Yarıyıl Tatili,Yarıyıl Tatili,Yarıyıl Tatili
20-21,2-13 Şubat,Proje ve Araştırma Konuları,Türevin Uygulamaları (Maksimum-Minimum Problemleri),Kuantum Fiziğine Giriş,Aldehitler ve Ketonlar,Bitkilerde Eşeyli Üreme,Soğuk Savaş Sonrası Türkiye ve Dünya
22-23,16-27 Şubat,Proje ve Araştırma Konuları,İntegral: Belirsiz İntegral,Fotoelektrik Olay ve Compton Saçılması,Karboksilik Asitler ve Esterler,Canlılar ve Çevre,Küreselleşen Dünya
24-25,2-13 Mart,Proje ve Araştırma Konuları,Belirli İntegral ve Uygulamaları (Alan Hesabı),Modern Fiziğin Teknolojideki Uygulamaları,Canlılarda Enerji ve Temel Organik Moleküller,Yıl Sonu Tekrarı,Yıl Sonu Tekrarı
26,16-20 Mart,İkinci Ara Tatil,İkinci Ara Tatil,İkinci Ara Tatil,İkinci Ara Tatil,İkinci Ara Tatil,İkinci Ara Tatil
27-30,23 Mart - 17 Nisan,YKS'ye Yönelik Genel Tekrarlar,YKS'ye Yönelik Genel Tekrarlar,YKS'ye Yönelik Genel Tekrarlar,YKS'ye Yönelik Genel Tekrarlar,YKS'ye Yönelik Genel Tekrarlar,YKS'ye Yönelik Genel Tekrarlar
31-32,20 Nisan - 1 Mayıs,YKS'ye Yönelik Genel Tekrarlar,Analitik Geometri: Çemberin Analitik İncelenmesi,YKS'ye Yönelik Genel Tekrarlar,YKS'ye Yönelik Genel Tekrarlar,YKS'ye Yönelik Genel Tekrarlar,YKS'ye Yönelik Genel Tekrarlar
33-34,4-15 Mayıs,Genel Tekrar ve 2. Yazılı Sınav Haftası,Genel Tekrar ve 2. Yazılı Sınav Haftası,Genel Tekrar ve 2. Yazılı Sınav Haftası,Genel Tekrar ve 2. Yazılı Sınav Haftası,Genel Tekrar ve 2. Yazılı Sınav Haftası,Genel Tekrar ve 2. Yazılı Sınav Haftası
35-40,18 Mayıs - 26 Haziran,YKS'ye Yönelik Soru Çözümü ve Deneme Sınavları,YKS'ye Yönelik Soru Çözümü ve Deneme Sınavları,YKS'ye Yönelik Soru Çözümü ve Deneme Sınavları,YKS'ye Yönelik Soru Çözümü ve Deneme Sınavları,YKS'ye Yönelik Soru Çözümü ve Deneme Sınavları,YKS'ye Yönelik Soru Çözümü ve Deneme Sınavları
