Hafta,Tarih Aralığı,Türk Dili ve Edebiyatı,Matematik,Fizik,Kimya,Biyoloji,Tarih,Coğrafya
1-2,8-19 Eylül,"Edebiyat, Güzel Sanatlar ve Dil",Sayılar ve Cebir: Sayı Kümeleri,Fizik Bilimine Giriş,Kimya Bilimi,Biyoloji Bilimi,Tarih ve Zaman,Doğa ve İnsan
3-4,22 Eylül - 3 Ekim,Edebî Metinlerin Özellikleri,Mantık: Önermeler ve Bileşik Önermeler,"Madde ve Özellikleri: Kütle, Hacim, Özkütle",Atom ve Periyodik Sistem: Atom Modelleri,Canlıların Ortak Özellikleri,İnsanlığın İlk Dönemleri,Dünya'nın Şekli ve Hareketleri
5-6,6-17 Ekim,Hikâye (Olay ve Durum Hikâyesi),Kümeler: Temel Kavramlar ve İşlemler,"Hareket ve Kuvvet: Konum, Hız, Sürat",Periyodik Sistem ve Özellikler,Canlıların Yapısında Bulunan Temel Bileşikler,İlk Çağ Uygarlıkları,Coğrafi Koordinat Sistemi
7-8,20-31 Ekim,"Şiir (Yapı, Ahenk Unsurları)",Denklemler ve Eşitsizlikler: Birinci Dereceden Denklemler,Newton'un Hareket Yasaları,Kimyasal Türler Arası Etkileşimler: Güçlü Etkileşimler,Hücre: Yapısı ve Organeller,Orta Çağ'da Dünya,Harita Bilgisi
9,3-7 Kasım,Genel Tekrar ve 1. Yazılı Sınav Haftası,Genel Tekrar ve 1. Yazılı Sınav Haftası,Genel Tekrar ve 1. Yazılı Sınav Haftası,Genel Tekrar ve 1. Yazılı Sınav Haftası,Genel Tekrar ve 1. Yazılı Sınav Haftası,Genel Tekrar ve 1. Yazılı Sınav Haftası,Genel Tekrar ve 1. Yazılı Sınav Haftası
10,10-14 Kasım,Birinci Ara Tatil,Birinci Ara Tatil,Birinci Ara Tatil,Birinci Ara Tatil,Birinci Ara Tatil,Birinci Ara Tatil,Birinci Ara Tatil
11-12,17-28 Kasım,Roman (Yapı Unsurları),Üslü ve Köklü İfadeler,"Enerji: İş, Güç, Enerji Dönüşümleri",Zayıf Etkileşimler ve Fiziksel/Kimyasal Değişimler,Hücrede Madde Geçişleri,İlk ve Orta Çağlarda Türk Dünyası,İklim Bilgisi: Atmosfer ve Sıcaklık
13-14,1-12 Aralık,Tiyatro (Geleneksel Türk Tiyatrosu),"Üçgenler: Temel Kavramlar, Açı-Kenar Bağıntıları","Isı ve Sıcaklık: Hal Değişimi, Isıl Denge","Maddenin Hâlleri: Katılar, Sıvılar",Canlıların Sınıflandırılması: Sınıflandırmanın Önemi,İslam Medeniyetinin Doğuşu,İklim Elemanları: Basınç ve Rüzgârlar
15-16,15-26 Aralık,Biyografi/Otobiyografi,Üçgenlerde Eşlik ve Benzerlik,Elektrostatik: Elektrik Yükleri ve Elektriklenme,Gazlar ve Plazma,Canlı Alemleri ve Özellikleri,Türklerin İslamiyet'i Kabulü ve İlk Türk-İslam Devletleri,İklim Elemanları: Nemlilik ve Yağış
17-18,29 Aralık - 9 Ocak,Mektup/E-Posta,"Üçgenin Yardımcı Elemanları (Açıortay, Kenarortay)",Elektrik Akımı ve Devreleri,"Asitler, Bazlar ve Tuzlara Giriş",Virüsler ve Bakteriler,Dönem Sonu Tekrarı,Yeryüzündeki İklim Tipleri
