subject,topic,prerequisiteTopic,examType,weight,difficultyDist
Matematik,Temel Kavramlar,Yok,TYT & AYT,2.1,"[0.6, 0.3, 0.1, 0.0, 0.0]"
Matematik,Sayı Basamakları,Temel Kavramlar,TYT & AYT,0.8,"[0.5, 0.4, 0.1, 0.0, 0.0]"
Matematik,Bölme ve Bölünebilme,Temel Kavramlar,TYT & AYT,0.7,"[0.4, 0.5, 0.1, 0.0, 0.0]"
Matematik,EBOB-EKOK,Bölme ve Bölünebilme,TYT & AYT,0.6,"[0.3, 0.5, 0.2, 0.0, 0.0]"
Matematik,Rasyonel Sayılar,Temel Kavramlar,TYT,0.5,"[0.7, 0.3, 0.0, 0.0, 0.0]"
Matematik,Basit Eşitsizlikler,Denklem Çözme,TYT & AYT,1.0,"[0.3, 0.5, 0.2, 0.0, 0.0]"
Matematik,Mutlak Değer,Basit Eşitsizlikler,TYT & AYT,0.8,"[0.2, 0.5, 0.3, 0.0, 0.0]"
Matematik,Üslü Sayılar,Çarpanlara Ayırma,TYT & AYT,0.8,"[0.3, 0.5, 0.2, 0.0, 0.0]"
Matematik,Köklü Sayılar,Üslü Sayılar,TYT & AYT,0.5,"[0.3, 0.5, 0.2, 0.0, 0.0]"
Matematik,Çarpanlara Ayırma,Temel Kavramlar,TYT & AYT,0.8,"[0.2, 0.5, 0.3, 0.0, 0.0]"
Matematik,Oran-Orantı,Denklem Çözme,TYT,0.5,"[0.4, 0.5, 0.1, 0.0, 0.0]"
Matematik,Sayı ve Kesir Problemleri,"Oran-Orantı; Denklem Çözme",TYT,4.5,"[0.1, 0.4, 0.4, 0.1, 0.0]"
Matematik,Yaş Problemleri,Denklem Çözme,TYT,1.0,"[0.2, 0.5, 0.3, 0.0, 0.0]"
Matematik,Yüzde ve Kar-Zarar Problemleri,Oran-Orantı,TYT,2.0,"[0.1, 0.4, 0.4, 0.1, 0.0]"
Matematik,Hareket Problemleri,"Oran-Orantı; Denklem Çözme",TYT,1.0,"[0.1, 0.3, 0.4, 0.2, 0.0]"
Matematik,Karışım Problemleri,Oran-Orantı,TYT,1.0,"[0.1, 0.4, 0.4, 0.1, 0.0]"
Matematik,Kümeler ve Kartezyen Çarpım,Mantık,TYT & AYT,1.2,"[0.3, 0.5, 0.2, 0.0, 0.0]"
